Time,SoC_1,Voltage_1,Current_1,Temperature_1,SoC_2,Voltage_2,Current_2,Temperature_2,SoC_3,Voltage_3,Current_3,Temperature_3,SoC_4,Voltage_4,Current_4,Temperature_4,SoC_5,Voltage_5,Current_5,Temperature_5,SoC_6,Voltage_6,Current_6,Temperature_6,SoC_7,Voltage_7,Current_7,Temperature_7,SoC_8,Voltage_8,Current_8,Temperature_8
0:36,55.0,49190.0,860.0,21000.0,57.0,49190.0,785.0,20000.0,54.0,49180.0,867.0,20000.0,55.0,49184.0,809.0,19000.0,55.0,49173.0,492.0,18000.0,56.0,49157.0,470.0,18000.0,,,,,,,,
0:36,55.0,49190.0,710.0,21000.0,57.0,49186.0,665.0,20000.0,54.0,49195.0,800.0,20000.0,55.0,49184.0,688.0,19000.0,55.0,49180.0,389.0,18000.0,56.0,49162.0,366.0,18000.0,,,,,,,,
0:37,55.0,49197.0,929.0,21000.0,57.0,49193.0,845.0,20000.0,54.0,49185.0,804.0,20000.0,55.0,49186.0,883.0,19000.0,55.0,49178.0,545.0,18000.0,56.0,49161.0,522.0,18000.0,,,,,,,,
0:38,55.0,49180.0,916.0,21000.0,57.0,49172.0,801.0,20000.0,54.0,49192.0,838.0,20000.0,55.0,49200.0,842.0,19000.0,55.0,49169.0,508.0,18000.0,56.0,49178.0,495.0,18000.0,,,,,,,,
0:38,55.0,49200.0,724.0,21000.0,57.0,49196.0,667.0,20000.0,54.0,49199.0,804.0,20000.0,55.0,49182.0,709.0,19000.0,55.0,49181.0,403.0,18000.0,56.0,49174.0,387.0,18000.0,,,,,,,,
0:39,55.0,49175.0,1530.0,21000.0,57.0,49180.0,1364.0,20000.0,54.0,49180.0,1189.0,20000.0,55.0,49184.0,1409.0,19000.0,55.0,49165.0,966.0,18000.0,56.0,49153.0,916.0,18000.0,,,,,,,,
0:39,55.0,49163.0,1376.0,21000.0,57.0,49155.0,1234.0,20000.0,54.0,49170.0,1274.0,20000.0,55.0,49150.0,1279.0,19000.0,55.0,49150.0,857.0,18000.0,56.0,49156.0,814.0,18000.0,,,,,,,,
0:40,55.0,49163.0,1256.0,21000.0,57.0,49163.0,1142.0,20000.0,54.0,49171.0,1272.0,20000.0,55.0,49149.0,1178.0,19000.0,55.0,49154.0,760.0,18000.0,56.0,49128.0,732.0,18000.0,,,,,,,,
0:40,55.0,49147.0,1377.0,21000.0,57.0,49162.0,1240.0,20000.0,54.0,49178.0,1284.0,20000.0,55.0,49165.0,1282.0,19000.0,55.0,49137.0,860.0,18000.0,56.0,49147.0,826.0,18000.0,,,,,,,,
0:41,55.0,49144.0,1330.0,21000.0,57.0,49147.0,1202.0,20000.0,54.0,49172.0,1224.0,20000.0,55.0,49166.0,1248.0,19000.0,55.0,49133.0,826.0,18000.0,56.0,49141.0,794.0,18000.0,,,,,,,,
0:41,55.0,49156.0,1338.0,21000.0,57.0,49156.0,1223.0,20000.0,54.0,49165.0,1240.0,20000.0,55.0,49142.0,1254.0,19000.0,55.0,49137.0,832.0,18000.0,56.0,49131.0,796.0,18000.0,,,,,,,,
0:42,55.0,49147.0,1316.0,21000.0,57.0,49146.0,1198.0,20000.0,54.0,49165.0,1286.0,20000.0,55.0,49150.0,1252.0,19000.0,55.0,49128.0,822.0,18000.0,56.0,49141.0,788.0,18000.0,,,,,,,,
0:42,55.0,49144.0,1267.0,21000.0,57.0,49142.0,1197.0,20000.0,54.0,49168.0,1274.0,20000.0,55.0,49165.0,1261.0,19000.0,55.0,49137.0,822.0,18000.0,56.0,49137.0,788.0,18000.0,,,,,,,,
0:43,55.0,49175.0,871.0,21000.0,57.0,49175.0,787.0,20000.0,54.0,49173.0,804.0,20000.0,55.0,49176.0,826.0,19000.0,55.0,49163.0,530.0,18000.0,56.0,49150.0,472.0,18000.0,,,,,,,,
0:43,55.0,49179.0,854.0,21000.0,57.0,49184.0,770.0,20000.0,54.0,49184.0,846.0,20000.0,55.0,49182.0,811.0,19000.0,55.0,49166.0,488.0,18000.0,56.0,49152.0,462.0,18000.0,,,,,,,,
0:44,55.0,49188.0,752.0,21000.0,57.0,49188.0,694.0,20000.0,54.0,49188.0,698.0,20000.0,55.0,49180.0,724.0,19000.0,55.0,49171.0,423.0,18000.0,56.0,49161.0,412.0,18000.0,,,,,,,,
0:44,55.0,49167.0,860.0,21000.0,57.0,49181.0,774.0,20000.0,54.0,49190.0,818.0,20000.0,55.0,49188.0,806.0,19000.0,55.0,49172.0,489.0,18000.0,56.0,49166.0,457.0,18000.0,,,,,,,,
0:45,55.0,49178.0,856.0,21000.0,57.0,49174.0,784.0,20000.0,54.0,49191.0,836.0,20000.0,55.0,49180.0,816.0,19000.0,55.0,49165.0,508.0,18000.0,56.0,49174.0,474.0,18000.0,,,,,,,,
0:45,55.0,49191.0,757.0,21000.0,57.0,49190.0,689.0,20000.0,54.0,49196.0,823.0,20000.0,55.0,49189.0,725.0,19000.0,55.0,49179.0,430.0,18000.0,56.0,49160.0,404.0,18000.0,,,,,,,,
0:46,55.0,49176.0,1180.0,21000.0,57.0,49176.0,946.0,20000.0,54.0,49196.0,989.0,20000.0,55.0,49182.0,974.0,19000.0,55.0,49170.0,627.0,18000.0,56.0,49155.0,610.0,18000.0,,,,,,,,
0:47,55.0,49175.0,1227.0,21000.0,57.0,49161.0,1116.0,20000.0,54.0,49173.0,1154.0,20000.0,55.0,49161.0,1153.0,19000.0,55.0,49147.0,758.0,18000.0,56.0,49148.0,728.0,18000.0,,,,,,,,
0:47,55.0,49177.0,1110.0,21000.0,57.0,49177.0,1001.0,20000.0,54.0,49176.0,1145.0,20000.0,55.0,49175.0,1048.0,19000.0,55.0,49161.0,653.0,18000.0,56.0,49155.0,620.0,18000.0,,,,,,,,
0:48,55.0,49173.0,1134.0,21000.0,57.0,49175.0,1016.0,20000.0,54.0,49161.0,1002.0,20000.0,55.0,49167.0,1053.0,19000.0,55.0,49155.0,695.0,18000.0,56.0,49143.0,649.0,18000.0,,,,,,,,
0:48,55.0,49162.0,1142.0,21000.0,57.0,49157.0,1028.0,20000.0,54.0,49176.0,1058.0,20000.0,55.0,49166.0,1069.0,19000.0,55.0,49142.0,705.0,18000.0,56.0,49155.0,668.0,18000.0,,,,,,,,
0:49,55.0,49157.0,1101.0,21000.0,57.0,49173.0,994.0,20000.0,54.0,49181.0,1056.0,20000.0,55.0,49180.0,1038.0,19000.0,55.0,49150.0,670.0,18000.0,56.0,49162.0,643.0,18000.0,,,,,,,,
0:49,55.0,49172.0,1258.0,21000.0,57.0,49154.0,869.0,20000.0,54.0,49176.0,964.0,20000.0,55.0,49154.0,912.0,19000.0,55.0,49150.0,790.0,18000.0,56.0,49146.0,725.0,18000.0,,,,,,,,
0:50,55.0,49169.0,1138.0,21000.0,57.0,49159.0,1016.0,20000.0,54.0,49177.0,1000.0,20000.0,55.0,49175.0,1064.0,19000.0,55.0,49149.0,702.0,18000.0,56.0,49159.0,666.0,18000.0,,,,,,,,
0:50,55.0,49173.0,1060.0,21000.0,57.0,49165.0,978.0,20000.0,54.0,49173.0,1120.0,20000.0,55.0,49159.0,1021.0,19000.0,55.0,49147.0,646.0,18000.0,56.0,49145.0,612.0,18000.0,,,,,,,,
0:51,55.0,49159.0,1072.0,21000.0,57.0,49150.0,953.0,20000.0,54.0,49187.0,998.0,20000.0,55.0,49167.0,1011.0,19000.0,55.0,49159.0,660.0,18000.0,56.0,49161.0,611.0,18000.0,,,,,,,,
0:51,55.0,49173.0,1107.0,21000.0,57.0,49165.0,999.0,20000.0,54.0,49172.0,1022.0,20000.0,55.0,49163.0,1045.0,19000.0,55.0,49147.0,688.0,18000.0,56.0,49145.0,647.0,18000.0,,,,,,,,
0:52,55.0,49168.0,1111.0,21000.0,57.0,49164.0,992.0,20000.0,54.0,49177.0,1048.0,20000.0,55.0,49166.0,1048.0,19000.0,55.0,49163.0,692.0,18000.0,56.0,49142.0,656.0,18000.0,,,,,,,,
0:52,54.0,49160.0,1102.0,21000.0,57.0,49173.0,1002.0,20000.0,54.0,49183.0,1089.0,20000.0,55.0,49176.0,1046.0,19000.0,55.0,49165.0,684.0,18000.0,56.0,49150.0,642.0,18000.0,,,,,,,,
0:53,54.0,49163.0,1128.0,21000.0,57.0,49167.0,1083.0,20000.0,54.0,49173.0,1062.0,20000.0,55.0,49176.0,1138.0,19000.0,55.0,49157.0,753.0,18000.0,56.0,49158.0,726.0,18000.0,,,,,,,,
0:53,54.0,49163.0,1028.0,21000.0,57.0,49167.0,922.0,20000.0,54.0,49190.0,1046.0,20000.0,54.0,49177.0,980.0,19000.0,55.0,49166.0,628.0,18000.0,56.0,49163.0,594.0,18000.0,,,,,,,,
0:54,54.0,49157.0,1166.0,21000.0,57.0,49177.0,1046.0,20000.0,54.0,49179.0,970.0,20000.0,54.0,49177.0,1078.0,19000.0,55.0,49164.0,712.0,19000.0,56.0,49147.0,690.0,18000.0,,,,,,,,
